file,sku_main,old_skus,new_skus,passed
output_5305.txt,JNE3739-KR-XS,"['JNE3802-KR-XS', 'JNE3633-KR-XS', 'JNE3614-KR-XS', 'JNE3803-KR-XS', 'JNE3400-KR-XS']","['JNE3802-KR-XS', 'JNE3633-KR-XS', 'JNE3614-KR-XS', 'JNE3803-KR-XS', 'JNE3400-KR-XS']",True
output_5306.txt,JNE3565-KR-XL,"['JNE3627-KR-XL', 'J0072-KR-XL', 'JNE3619-KR-XL', 'JNE3265-KR-XL', 'JNE3616-KR-XL']","['JNE3627-KR-XL', 'J0072-KR-XL', 'JNE3619-KR-XL', 'JNE3265-KR-XL', 'J0167-KR-XL']",False
output_5307.txt,JNE3643-TP-N-XL,['JNE3644-TP-N-XL'],['JNE3644-TP-N-XL'],True
output_5308.txt,SET321-KR-DPT-L,['SET333-KR-DPT-L'],['SET333-KR-DPT-L'],True
output_5309.txt,MEN5015-KR-M,"['MEN5014-KR-M', 'JNE3799-KR-M', 'JNE3807-KR-M', 'JNE3856-KR-M', 'MEN5018-KR-M']","['MEN5014-KR-M', 'JNE3799-KR-M', 'JNE3807-KR-M', 'JNE3856-KR-M', 'MEN5018-KR-M']",True
output_531.txt,SET073-KR-SHA-M,[],[],True
output_5310.txt,SET401-KR-NP-XXXL,"['SET300-KR-NP-XXXL', 'SET390-KR-NP-XXXL', 'SET403-KR-NP-XXXL', 'SET310-KR-NP-XXXL', 'SET245-KR-NP-XXXL']","['SET300-KR-NP-XXXL', 'SET390-KR-NP-XXXL', 'SET403-KR-NP-XXXL', 'SET310-KR-NP-XXXL', 'SET415-KR-NP-XXXL']",False
output_5311.txt,J0386-KR-M,[],[],True
output_5312.txt,J0414-DR-XS,"['J0401-DR-XS', 'J0207-DR-XS', 'J0152-DR-XS', 'J0398-DR-XS']","['J0401-DR-XS', 'J0207-DR-XS', 'J0152-DR-XS', 'J0398-DR-XS']",True
output_5313.txt,JNE3892-TP-M,[],[],True
output_5314.txt,J0385-KR-XL,['JNE3866-KR-XL'],['JNE3866-KR-XL'],True
output_5315.txt,SET394-KR-NP-XL,"['SET356-KR-NP-XL', 'SET313-KR-NP-XL', 'SET359-KR-NP-XL', 'SET365-KR-NP-XL']","['SET356-KR-NP-XL', 'SET313-KR-NP-XL', 'SET359-KR-NP-XL', 'SET365-KR-NP-XL']",True
output_5316.txt,SAR174,[],[],True
output_5317.txt,SET003-KR-NP-A-S,[],[],True
output_5318.txt,SET415-KR-NP-L,"['SET390-KR-NP-L', 'SET403-KR-NP-L', 'SET323-KR-NP-L', 'SET380-KR-NP-L']","['SET390-KR-NP-L', 'SET403-KR-NP-L', 'SET323-KR-NP-L', 'SET380-KR-NP-L']",True
output_5319.txt,SET357-KR-NP-S,"['SET335-KR-NP-S', 'SET141-KR-NP-S']","['SET335-KR-NP-S', 'SET141-KR-NP-S']",True
output_532.txt,SET087-KR-PP-M,[],[],True
output_5320.txt,J0415-DR-XL,[],[],True
output_5321.txt,SET335-KR-NP-XS,"['SET405-KR-NP-XS', 'SET357-KR-NP-XS', 'SET244-KR-NP-XS', 'SET461-KR-NP-XS']","['SET405-KR-NP-XS', 'SET357-KR-NP-XS', 'SET244-KR-NP-XS', 'SET461-KR-NP-XS']",True
output_5322.txt,PJNE3364-KR-6XL,['PJNE3607-KR-6XL'],['PJNE3607-KR-6XL'],True
output_5323.txt,SET276-KR-PP-L,[],[],True
output_5324.txt,JNE3426-KR-S,"['J0075-KR-S', 'JNE3785-KR-S', 'JNE3623-KR-S', 'JNE3608-KR-S', 'JNE3487-KR-S']","['J0075-KR-S', 'JNE3785-KR-S', 'JNE3623-KR-S', 'JNE3608-KR-S', 'JNE3487-KR-S']",True
output_5325.txt,PJNE3423-KR-N-4XL,['PJNE3404-KR-N-4XL'],['PJNE3404-KR-N-4XL'],True
output_5326.txt,JNE3279-KR-A-XS,[],[],True
output_5327.txt,BL024-74RED-B,[],[],True
output_5328.txt,JNE3281-KR-XL,"['JNE3389-KR-XL', 'JNE3804-KR-XL', 'MEN5003-KR-XL', 'JNE3817-KR-XL', 'JNE3621-KR-XL']","['JNE3389-KR-XL', 'MEN5003-KR-XL', 'JNE3804-KR-XL', 'JNE3817-KR-XL', 'JNE3621-KR-XL']",True
